age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
v0,State-gov,v3,Some-college,v1,Never-married,Adm-clerical,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v1,Bachelors,v3,Married-civ-spouse,Exec-managerial,Wife,White,Female,v0,v0,v0,United-States,'>50K'
v3,?,v1,Assoc-voc,v2,Married-civ-spouse,?,Husband,White,Male,v0,v0,v3,United-States,'>50K'
v0,Private,v1,5th-6th,v0,Never-married,Machine-op-inspct,Not-in-family,White,Female,v0,v0,v0,?,'<=50K'
v0,Self-emp-not-inc,v2,11th,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Local-gov,v1,Bachelors,v3,Divorced,Prof-specialty,Not-in-family,White,Female,v0,v0,v3,United-States,'<=50K'
v0,Self-emp-inc,v3,Some-college,v1,Never-married,Adm-clerical,Own-child,White,Female,v0,v0,v2,United-States,'<=50K'
v2,Private,v2,Assoc-voc,v2,Married-civ-spouse,Craft-repair,Husband,White,Male,v3,v0,v0,United-States,'>50K'
v0,Private,v2,HS-grad,v0,Never-married,Other-service,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v2,Private,v1,Some-college,v1,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v3,Self-emp-not-inc,v1,HS-grad,v0,Widowed,Other-service,Not-in-family,White,Female,v0,v0,v0,Pool,'<=50K'
v3,Private,v3,7th-8th,v0,Married-civ-spouse,Sales,Husband,Other,Male,v0,v0,v3,Dominican-Republic,'<=50K'
v1,Private,v0,Some-college,v1,Never-married,Adm-clerical,Not-in-family,White,Female,v3,v0,v3,United-States,'<=50K'
v0,Private,v2,HS-grad,v0,Married-civ-spouse,Adm-clerical,Wife,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v3,HS-grad,v0,Never-married,Adm-clerical,Own-child,Black,Female,v0,v0,v0,United-States,'<=50K'
v2,Private,v0,Masters,v3,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,v0,v0,v3,United-States,'<=50K'
v1,Private,v2,Bachelors,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v0,Pool,'>50K'
v0,Private,v0,Some-college,v1,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,v0,v0,v0,Vietnam,'<=50K'
v1,Private,v2,Some-college,v1,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,v0,v0,v3,United-States,'<=50K'
v0,Private,v1,Bachelors,v3,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,v0,v0,v0,Pool,'<=50K'
v0,Private,v3,HS-grad,v0,Never-married,Sales,Own-child,White,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v1,Some-college,v1,Widowed,Adm-clerical,Unmarried,White,Female,v0,v0,v0,United-States,'<=50K'
v3,Private,v3,HS-grad,v0,Married-civ-spouse,Transport-moving,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v0,Federal-gov,v2,Prof-school,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v3,Columbia,'<=50K'
v2,Private,v0,HS-grad,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v0,v2,United-States,'>50K'
v2,Private,v3,HS-grad,v0,Married-civ-spouse,Craft-repair,Husband,Black,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v1,HS-grad,v0,Separated,Machine-op-inspct,Unmarried,White,Female,v0,v0,v0,United-States,'<=50K'
v2,State-gov,v2,Assoc-voc,v2,Divorced,Prof-specialty,Unmarried,White,Female,v0,v0,v3,United-States,'>50K'
v2,Private,v1,Bachelors,v3,Divorced,Exec-managerial,Not-in-family,White,Female,v3,v0,v0,United-States,'>50K'
v3,Private,v0,Bachelors,v3,Married-civ-spouse,Sales,Husband,White,Male,v0,v0,v3,United-States,'>50K'
v0,Private,v1,HS-grad,v0,Never-married,Handlers-cleaners,Own-child,White,Male,v0,v0,v2,United-States,'<=50K'
v2,Private,v3,5th-6th,v0,Married-civ-spouse,Other-service,Husband,White,Male,v0,v0,v3,Mexico,'<=50K'
v1,Self-emp-not-inc,v3,Some-college,v1,Separated,Other-service,Own-child,White,Female,v0,v0,v0,Cuba,'<=50K'
v3,Private,v0,Some-college,v1,Widowed,Exec-managerial,Not-in-family,White,Female,v0,v0,v0,United-States,'>50K'
v3,Private,v3,HS-grad,v0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,v3,v0,v0,United-States,'>50K'
v2,Private,v2,1st-4th,v0,Never-married,Sales,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v3,Prof-school,v3,Never-married,Prof-specialty,Not-in-family,White,Male,v0,v0,v3,United-States,'<=50K'
v0,?,v3,11th,v0,Never-married,?,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v3,7th-8th,v0,Never-married,Other-service,Not-in-family,White,Male,v0,v0,v0,Mexico,'<=50K'
v1,Private,v3,HS-grad,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v3,?,v1,Some-college,v1,Married-civ-spouse,?,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Private,v0,Some-college,v1,Never-married,Adm-clerical,Unmarried,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Private,v0,Some-college,v1,Never-married,Farming-fishing,Not-in-family,White,Female,v0,v0,v2,United-States,'<=50K'
v3,Private,v0,Some-college,v1,Widowed,Tech-support,Unmarried,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Local-gov,v3,Bachelors,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v0,El-Salvador,'<=50K'
v3,Private,v3,Some-college,v1,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v3,Local-gov,v1,Bachelors,v3,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Private,v2,HS-grad,v0,Married-civ-spouse,Tech-support,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v3,Local-gov,v1,Bachelors,v3,Married-civ-spouse,Exec-managerial,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Federal-gov,v3,Some-college,v1,Never-married,Adm-clerical,Unmarried,Black,Female,v0,v0,v0,United-States,'<=50K'
v3,Private,v2,HS-grad,v0,Divorced,Prof-specialty,Not-in-family,White,Male,v0,v0,v2,United-States,'<=50K'
v3,State-gov,v1,Masters,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v3,v0,v2,United-States,'>50K'
v2,Private,v1,Bachelors,v3,Married-civ-spouse,Transport-moving,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v0,?,v2,HS-grad,v0,Never-married,?,Other-relative,White,Female,v0,v0,v0,United-States,'<=50K'
v3,Private,v2,9th,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v3,Self-emp-not-inc,v0,Bachelors,v3,Married-civ-spouse,Adm-clerical,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Local-gov,v3,HS-grad,v0,Married-civ-spouse,Other-service,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v1,Bachelors,v3,Never-married,Exec-managerial,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v3,Some-college,v1,Married-civ-spouse,Craft-repair,Husband,White,Male,v3,v0,v3,United-States,'<=50K'
v2,Private,v1,HS-grad,v0,Married-civ-spouse,Transport-moving,Husband,White,Male,v3,v0,v3,United-States,'>50K'
v0,Private,v0,Some-college,v1,Divorced,Other-service,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v3,HS-grad,v0,Married-civ-spouse,Sales,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v3,Self-emp-not-inc,v1,HS-grad,v0,Divorced,Farming-fishing,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v2,State-gov,v2,Masters,v3,Divorced,Prof-specialty,Not-in-family,White,Female,v0,v0,v2,United-States,'<=50K'
v3,Self-emp-not-inc,v1,10th,v0,Divorced,Sales,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Private,v0,HS-grad,v0,Never-married,Adm-clerical,Not-in-family,White,Female,v3,v0,v0,United-States,'<=50K'
v3,Federal-gov,v0,Bachelors,v3,Married-civ-spouse,Sales,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v1,11th,v0,Never-married,Other-service,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v0,Some-college,v1,Never-married,Other-service,Own-child,White,Female,v0,v0,v0,United-States,'<=50K'
v2,Private,v2,HS-grad,v0,Divorced,Tech-support,Unmarried,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Local-gov,v2,HS-grad,v0,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,v0,v0,v3,United-States,'<=50K'
v3,Self-emp-not-inc,v0,Prof-school,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v3,v0,v2,United-States,'>50K'
v2,Private,v2,HS-grad,v0,Divorced,Sales,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v0,HS-grad,v0,Never-married,Adm-clerical,Own-child,White,Female,v0,v0,v0,United-States,'<=50K'
v3,Private,v0,Some-college,v1,Married-civ-spouse,Tech-support,Husband,White,Male,v0,v0,v2,United-States,'>50K'
v0,Private,v3,Some-college,v1,Never-married,Machine-op-inspct,Other-relative,White,Male,v0,v0,v3,United-States,'<=50K'
v0,Private,v2,HS-grad,v0,Never-married,Other-service,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v2,Some-college,v1,Divorced,Exec-managerial,Not-in-family,White,Female,v3,v0,v0,United-States,'>50K'
v0,Private,v3,11th,v0,Never-married,Craft-repair,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v3,Private,v0,Assoc-voc,v2,Widowed,Adm-clerical,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v2,State-gov,v0,Masters,v3,Married-civ-spouse,Prof-specialty,Wife,White,Female,v0,v0,v0,United-States,'>50K'
v2,Private,v1,Bachelors,v3,Divorced,Sales,Unmarried,White,Male,v0,v0,v2,?,'<=50K'
v3,Private,v2,Bachelors,v3,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,v0,v0,v3,United-States,'<=50K'
v2,Private,v1,HS-grad,v0,Married-civ-spouse,Sales,Husband,White,Male,v0,v0,v3,United-States,'>50K'
v2,Local-gov,v0,Some-college,v1,Never-married,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,v3,v0,v0,United-States,'<=50K'
v1,Private,v0,Some-college,v1,Married-civ-spouse,Sales,Husband,White,Male,v0,v0,v3,United-States,'>50K'
v0,Private,v3,11th,v0,Never-married,Handlers-cleaners,Own-child,White,Male,v0,v0,v0,Mexico,'<=50K'
v0,Private,v2,HS-grad,v0,Never-married,Exec-managerial,Own-child,White,Female,v0,v0,v0,United-States,'<=50K'
v2,Local-gov,v2,Bachelors,v3,Divorced,Prof-specialty,Unmarried,White,Female,v3,v0,v3,United-States,'>50K'
v0,Private,v3,Masters,v3,Never-married,Prof-specialty,Not-in-family,White,Female,v0,v0,v0,United-States,'>50K'
v1,Federal-gov,v0,Bachelors,v3,Never-married,Prof-specialty,Not-in-family,White,Male,v0,v0,v0,United-States,'>50K'
v1,Private,v2,HS-grad,v0,Never-married,Adm-clerical,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v0,Some-college,v1,Never-married,Other-service,Own-child,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v3,HS-grad,v0,Never-married,Other-service,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v3,Private,v0,HS-grad,v0,Married-civ-spouse,Priv-house-serv,Other-relative,Black,Female,v0,v0,v0,United-States,'<=50K'
v3,Private,v1,Prof-school,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v0,Private,v2,Some-college,v1,Never-married,Other-service,Not-in-family,White,Male,v3,v0,v3,United-States,'<=50K'
v3,Self-emp-inc,v0,Some-college,v1,Divorced,Exec-managerial,Unmarried,White,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v0,HS-grad,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v0,Private,v2,Some-college,v1,Never-married,Prof-specialty,Not-in-family,White,Male,v0,v3,v0,?,'<=50K'
v1,Local-gov,v3,HS-grad,v0,Married-civ-spouse,Protective-serv,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v3,Private,v2,HS-grad,v0,Divorced,Sales,Other-relative,White,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v0,Some-college,v1,Married-civ-spouse,Adm-clerical,Wife,White,Female,v3,v0,v2,United-States,'>50K'
v2,Private,v2,HS-grad,v0,Never-married,Exec-managerial,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v2,Private,v2,Bachelors,v3,Married-civ-spouse,Exec-managerial,Husband,White,Male,v3,v0,v0,United-States,'>50K'
v2,State-gov,v2,HS-grad,v0,Married-civ-spouse,Other-service,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v3,HS-grad,v0,Divorced,Other-service,Unmarried,Black,Male,v0,v0,v0,United-States,'<=50K'
v1,State-gov,v2,HS-grad,v0,Married-civ-spouse,Adm-clerical,Husband,White,Male,v0,v3,v0,United-States,'<=50K'
v2,Private,v1,Some-college,v1,Married-civ-spouse,Sales,Husband,White,Male,v3,v0,v0,United-States,'>50K'
v1,Private,v2,HS-grad,v0,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,v0,v0,v0,United-States,'<=50K'
v3,Private,v3,Some-college,v1,Divorced,Exec-managerial,Other-relative,White,Female,v3,v0,v0,United-States,'<=50K'
v2,Private,v1,11th,v0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Private,v3,Some-college,v1,Married-civ-spouse,Transport-moving,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v0,Private,v2,9th,v0,Never-married,Machine-op-inspct,Own-child,White,Female,v0,v0,v0,Pool,'<=50K'
v2,Private,v1,Assoc-voc,v2,Divorced,Sales,Not-in-family,White,Male,v0,v0,v3,United-States,'<=50K'
v3,?,v2,HS-grad,v0,Divorced,?,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v3,Self-emp-not-inc,v1,7th-8th,v0,Married-civ-spouse,Exec-managerial,Husband,White,Male,v3,v0,v3,Pool,'>50K'
v2,Private,v1,Bachelors,v3,Married-civ-spouse,Sales,Husband,White,Male,v0,v0,v3,United-States,'>50K'
v3,Self-emp-not-inc,v2,7th-8th,v0,Married-civ-spouse,Farming-fishing,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v2,Some-college,v1,Never-married,Other-service,Own-child,White,Female,v0,v0,v0,Mexico,'<=50K'
v2,Local-gov,v1,Masters,v3,Married-civ-spouse,Exec-managerial,Husband,White,Male,v0,v3,v3,United-States,'>50K'
v0,Private,v2,HS-grad,v0,Never-married,Handlers-cleaners,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v2,Some-college,v1,Separated,Exec-managerial,Not-in-family,Black,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v1,HS-grad,v0,Married-civ-spouse,Exec-managerial,Husband,White,Male,v0,v0,v3,United-States,'>50K'
v3,?,v3,HS-grad,v0,Married-civ-spouse,?,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v1,?,v3,11th,v0,Divorced,?,Own-child,White,Male,v0,v0,v3,United-States,'<=50K'
v3,Private,v2,HS-grad,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v0,v2,United-States,'>50K'
v0,Federal-gov,v3,HS-grad,v0,Never-married,Adm-clerical,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v0,HS-grad,v0,Never-married,Other-service,Own-child,White,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v1,Some-college,v1,Divorced,Adm-clerical,Unmarried,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v2,HS-grad,v0,Never-married,Craft-repair,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v3,Bachelors,v3,Married-civ-spouse,Transport-moving,Husband,White,Male,v0,v0,v3,Canada,'>50K'
v0,Private,v0,HS-grad,v0,Divorced,Sales,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Local-gov,v3,Some-college,v1,Never-married,Protective-serv,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Federal-gov,v3,Some-college,v1,Divorced,Adm-clerical,Unmarried,White,Female,v0,v0,v0,United-States,'<=50K'
v2,Private,v3,Bachelors,v3,Divorced,Exec-managerial,Not-in-family,White,Female,v0,v0,v3,United-States,'<=50K'
v0,Private,v3,Some-college,v1,Never-married,Other-service,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Private,v3,HS-grad,v0,Never-married,Other-service,Not-in-family,Black,Male,v0,v0,v0,United-States,'<=50K'
v3,Private,v1,Bachelors,v3,Married-civ-spouse,Tech-support,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v3,State-gov,v1,Doctorate,v3,Married-civ-spouse,Prof-specialty,Husband,Black,Male,v0,v3,v3,?,'>50K'
v0,Private,v2,Bachelors,v3,Never-married,Sales,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Self-emp-not-inc,v3,HS-grad,v0,Divorced,Transport-moving,Not-in-family,White,Male,v0,v0,v3,United-States,'<=50K'
v1,Private,v0,HS-grad,v0,Separated,Adm-clerical,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v2,Private,v1,HS-grad,v0,Divorced,Other-service,Not-in-family,White,Male,v0,v0,v3,Pool,'<=50K'
v3,Private,v0,Some-college,v1,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v3,Private,v2,Some-college,v1,Married-civ-spouse,Sales,Husband,White,Male,v0,v0,v2,United-States,'>50K'
v1,Private,v1,HS-grad,v0,Never-married,Sales,Own-child,Black,Female,v0,v0,v0,United-States,'<=50K'
v2,Federal-gov,v2,Masters,v3,Divorced,Protective-serv,Not-in-family,White,Male,v0,v0,v3,United-States,'>50K'
v3,Private,v0,5th-6th,v0,Never-married,Handlers-cleaners,Not-in-family,Black,Male,v0,v3,v0,United-States,'<=50K'
v3,Private,v1,Assoc-acdm,v2,Widowed,Adm-clerical,Unmarried,White,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v3,Some-college,v1,Married-civ-spouse,Sales,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v0,Private,v0,Some-college,v1,Never-married,Sales,Not-in-family,White,Female,v0,v0,v3,United-States,'<=50K'
v0,State-gov,v2,Masters,v3,Never-married,Prof-specialty,Not-in-family,White,Female,v0,v0,v3,Germany,'<=50K'
v2,Self-emp-inc,v1,Some-college,v1,Divorced,Machine-op-inspct,Not-in-family,White,Male,v0,v0,v3,United-States,'<=50K'
v3,Private,v3,Some-college,v1,Widowed,Adm-clerical,Not-in-family,White,Female,v0,v0,v0,Cuba,'<=50K'
v3,Private,v0,HS-grad,v0,Divorced,Adm-clerical,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v0,HS-grad,v0,Divorced,Craft-repair,Not-in-family,White,Male,v3,v0,v3,United-States,'<=50K'
v3,Private,v1,HS-grad,v0,Widowed,Sales,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v2,Bachelors,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v0,?,'<=50K'
v1,Private,v3,HS-grad,v0,Divorced,Machine-op-inspct,Unmarried,Black,Female,v0,v0,v0,United-States,'<=50K'
v2,Self-emp-inc,v1,Prof-school,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v3,v3,United-States,'>50K'
v0,Private,v0,Bachelors,v3,Never-married,Adm-clerical,Not-in-family,White,Male,v0,v0,v2,United-States,'<=50K'
v1,Private,v0,11th,v0,Never-married,Other-service,Unmarried,Amer-Indian-Eskimo,Male,v0,v0,v0,United-States,'<=50K'
v1,Private,v2,Bachelors,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v1,Bachelors,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v0,Private,v3,11th,v0,Never-married,Other-service,Own-child,Black,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v2,Some-college,v1,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v1,Private,v1,Masters,v3,Never-married,Prof-specialty,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v2,Assoc-acdm,v2,Married-civ-spouse,Adm-clerical,Wife,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v3,10th,v0,Never-married,Sales,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v2,State-gov,v2,Masters,v3,Separated,Prof-specialty,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v1,HS-grad,v0,Widowed,Other-service,Unmarried,Black,Female,v0,v0,v0,United-States,'<=50K'
v2,Private,v0,HS-grad,v0,Divorced,Other-service,Unmarried,White,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v3,Bachelors,v3,Never-married,Adm-clerical,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v3,Self-emp-not-inc,v1,Some-college,v1,Married-civ-spouse,Farming-fishing,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v3,Private,v0,HS-grad,v0,Widowed,Other-service,Unmarried,Black,Female,v0,v0,v0,United-States,'<=50K'
v2,Private,v0,HS-grad,v0,Married-civ-spouse,Sales,Wife,White,Female,v3,v0,v0,United-States,'<=50K'
v0,Private,v3,Some-college,v1,Never-married,Adm-clerical,Not-in-family,White,Male,v0,v3,v0,United-States,'<=50K'
v0,Private,v2,Bachelors,v3,Never-married,Sales,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v3,Private,v3,5th-6th,v0,Married-civ-spouse,Transport-moving,Husband,White,Male,v0,v0,v0,Mexico,'<=50K'
v1,Private,v1,11th,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v2,Private,v3,1st-4th,v0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,v0,v0,v0,Mexico,'>50K'
v2,Private,v0,Masters,v3,Never-married,Prof-specialty,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v1,HS-grad,v0,Never-married,Other-service,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v1,Federal-gov,v3,Bachelors,v3,Married-civ-spouse,Exec-managerial,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v1,Some-college,v1,Never-married,Machine-op-inspct,Own-child,White,Male,v0,v0,v3,United-States,'<=50K'
v0,Private,v3,10th,v0,Divorced,Craft-repair,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Local-gov,v0,12th,v0,Never-married,Prof-specialty,Own-child,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v3,Bachelors,v3,Married-civ-spouse,Prof-specialty,Husband,Black,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v2,HS-grad,v0,Married-civ-spouse,Exec-managerial,Wife,White,Female,v0,v0,v3,United-States,'<=50K'
v1,State-gov,v1,HS-grad,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v0,Private,v3,Some-college,v1,Never-married,Machine-op-inspct,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v3,Self-emp-not-inc,v1,Bachelors,v3,Married-civ-spouse,Exec-managerial,Husband,White,Male,v0,v0,v0,United-States,'>50K'
v1,Private,v0,Masters,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v3,United-States,'>50K'
v3,Local-gov,v0,HS-grad,v0,Married-civ-spouse,Exec-managerial,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v2,Private,v3,Some-college,v1,Married-civ-spouse,Exec-managerial,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v3,Self-emp-not-inc,v3,Some-college,v1,Married-civ-spouse,Sales,Husband,White,Male,v0,v0,v3,United-States,'>50K'
v3,Self-emp-inc,v3,Prof-school,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v3,v3,United-States,'>50K'
v1,Private,v1,Bachelors,v3,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,v0,v0,v0,Japan,'<=50K'
v0,Private,v3,11th,v0,Never-married,Sales,Own-child,White,Female,v0,v0,v0,United-States,'<=50K'
v2,Private,v3,HS-grad,v0,Divorced,Craft-repair,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v3,Self-emp-not-inc,v0,Some-college,v1,Married-civ-spouse,Other-service,Wife,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v3,10th,v0,Divorced,Sales,Not-in-family,White,Female,v0,v0,v0,United-States,'<=50K'
v2,Private,v0,9th,v0,Married-civ-spouse,Craft-repair,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v2,Private,v0,Prof-school,v3,Never-married,Prof-specialty,Not-in-family,White,Male,v3,v0,v0,United-States,'>50K'
v2,Local-gov,v1,Prof-school,v3,Divorced,Prof-specialty,Unmarried,Black,Female,v0,v3,v0,United-States,'<=50K'
v1,State-gov,v0,Bachelors,v3,Married-civ-spouse,Adm-clerical,Husband,Black,Male,v0,v0,v0,United-States,'<=50K'
v2,Local-gov,v3,Some-college,v1,Married-civ-spouse,Other-service,Husband,White,Male,v0,v3,v0,United-States,'>50K'
v1,Self-emp-inc,v2,HS-grad,v0,Married-civ-spouse,Sales,Husband,White,Male,v3,v0,v3,United-States,'>50K'
v3,Private,v1,Some-college,v1,Married-civ-spouse,Sales,Husband,White,Male,v0,v0,v2,United-States,'>50K'
v2,Private,v0,Bachelors,v3,Married-civ-spouse,Prof-specialty,Husband,White,Male,v0,v0,v3,United-States,'<=50K'
v0,?,v2,HS-grad,v0,Never-married,?,Unmarried,Black,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v3,Some-college,v1,Married-civ-spouse,Exec-managerial,Husband,White,Male,v0,v0,v3,United-States,'>50K'
v0,Private,v0,Some-college,v1,Never-married,Other-service,Own-child,White,Female,v0,v0,v0,United-States,'<=50K'
v1,Private,v3,Assoc-acdm,v2,Married-civ-spouse,Farming-fishing,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
v0,State-gov,v3,Some-college,v1,Never-married,Prof-specialty,Own-child,White,Female,v0,v0,v0,United-States,'<=50K'
v3,Self-emp-not-inc,v0,HS-grad,v0,Married-civ-spouse,Sales,Wife,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v3,HS-grad,v0,Separated,Sales,Other-relative,White,Female,v0,v0,v0,United-States,'<=50K'
v0,Private,v2,Some-college,v1,Never-married,Prof-specialty,Not-in-family,White,Male,v0,v0,v0,United-States,'<=50K'
v1,Private,v1,Assoc-voc,v2,Never-married,Other-service,Unmarried,Black,Female,v0,v0,v0,United-States,'<=50K'
v2,?,v1,HS-grad,v0,Married-civ-spouse,?,Husband,White,Male,v0,v0,v0,United-States,'<=50K'
